track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
1351048	1786	3231	1	1	0	0	5.0	2
1341059	6656	3229	6	4	0	0	7.0	2
1419382	6507	3229	2	1	0	0	0.0	0
986592	812	3228	22	9	1	0	0.0	0
1163971	2130	3227	0	0	0	0	0.0	0
492099	1410	3227	3	1	0	0	0.0	0
1347915	935	3226	7	2	0	0	0.0	0
677104	1181	3225	8	3	0	0	0.0	0
1407330	1216	3224	17	3	0	0	0.0	0
956541	1416	3223	7	4	0	0	0.0	0
335217	1034	3222	10	3	0	0	0.0	0
260809	2893	3220	66	42	0	0	6.0	1
1214583	1027	3217	25	7	0	0	0.0	0
1133087	944	3215	20	9	1	0	0.0	0
82181	609	3213	11	6	0	0	0.0	0
221665	2179	3211	174	104	0	0	0.0	0
109796	266	3209	57	36	0	0	6.0	1
594391	3675	3208	13	6	0	0	0.0	0
1373255	604	3208	25	10	0	0	0.0	0
321112	2299	3206	52	26	0	0	0.0	0
1159364	372	3205	55	48	1	0	2.0	3
1418303	1421	3202	11	3	0	0	0.0	0
723357	835	3199	51	29	0	0	0.0	0
1114149	1048	3199	14	7	1	0	0.0	0
474527	805	3199	57	34	0	0	0.0	0
1133091	853	3192	20	10	1	0	10.0	1
1210716	1188	3190	16	5	0	0	6.6667	3
123549	499	3190	10	6	0	0	0.0	0
1084817	503	3189	10	7	0	0	8.0	1
1327180	2586	3185	296	294	0	0	2.6667	3
900786	3327	3184	0	0	1	0	0.0	0
908544	342	3184	22	11	0	0	0.0	0
1133089	1345	3182	18	8	0	0	0.0	0
1227495	1485	3182	11	9	1	0	0.0	1
496257	790	3181	30	16	1	0	0.0	0
533187	382	3181	13	9	0	0	0.0	0
524235	3143	3180	14	5	1	0	6.0	1
119349	435	3180	67	40	0	0	0.0	0
860149	631	3180	56	39	2	0	0.0	0
1289275	914	3179	5	3	0	0	0.0	0
1041562	4768	3177	6	2	1	0	0.0	0
94027	653	3176	60	38	1	0	0.0	0
428625	2748	3176	6	2	0	0	0.0	0
976783	520	3176	8	4	1	0	0.0	0
78137	443	3175	36	21	0	0	0.0	0
1375969	3889	3174	6	4	0	0	0.0	0
44717	793	3174	42	15	0	0	0.0	0
176939	181	3173	14	7	0	0	0.0	0
131009	955	3173	19	6	0	0	0.0	0
1066804	450	3173	10	3	0	0	0.0	0
1225718	1935	3172	17	11	1	0	0.0	0
1277800	1402	3167	7	1	0	0	0.0	0
1294765	571	3167	11	3	0	0	6.0	1
1166676	976	3161	7	4	0	0	10.0	2
778565	283	3160	13	5	0	0	0.0	0
127593	494	3160	104	43	0	0	0.0	0
1251622	1621	3159	6	3	0	0	8.0	2
880702	686	3159	5	1	0	0	4.0	1
305161	1024	3157	105	64	0	0	0.0	0
1136994	7381	3156	8	1	0	0	5.0	2
956545	283	3155	5	2	0	0	0.0	0
1138686	610	3155	18	8	0	0	0.0	0
307391	1769	3147	71	44	1	0	0.0	0
1388879	1340	3144	10	5	0	0	0.0	0
1265930	2334	3141	9	3	0	0	0.0	0
421720	909	3140	39	21	0	0	0.0	0
1375902	1938	3140	2	0	0	0	2.6667	3
321109	969	3139	49	23	0	0	0.0	0
1204821	3486	3137	13	7	1	0	0.0	0
1073718	940	3136	10	5	1	0	0.0	0
16101	1310	3133	42	22	0	0	0.0	0
1109814	709	3132	8	1	1	0	6.0	1
1230642	7970	3129	3	0	1	0	0.0	0
1177795	767	3128	6	3	0	0	0.0	0
1136443	2060	3127	5	1	1	0	6.0	1
1125389	600	3126	9	2	0	0	0.0	0
1136146	912	3126	20	11	2	0	0.0	0
946949	2031	3125	2	1	0	0	0.0	0
43287	1076	3123	11	6	0	0	0.0	0
1090977	2006	3123	6	4	1	0	0.0	0
408507	1141	3121	57	35	0	0	0.0	0
946945	998	3121	3	1	0	0	0.0	0
1133072	597	3119	16	8	1	0	0.0	0
763461	342	3118	8	4	0	0	6.0	1
1127338	613	3116	1	0	0	0	0.0	0
582651	1689	3112	46	25	0	0	0.0	0
1354586	742	3112	15	8	0	0	0.0	0
1147242	938	3109	0	0	0	0	0.0	0
49135	1297	3107	15	9	0	0	0.0	0
1341054	8423	3106	7	5	0	0	7.0	2
1055911	330	3103	7	2	0	0	0.0	0
1135714	1343	3101	21	8	1	0	0.0	0
1351032	2897	3099	4	0	0	0	5.0	2
455306	13000	3098	42	28	0	0	0.0	0
934752	826	3097	12	5	2	1	0.0	0
1410134	892	3097	1	1	0	0	0.0	0
1316333	1523	3091	2	1	0	0	0.0	0
192132	521	3091	49	31	0	0	0.0	0
1326947	1502	3090	7	4	0	0	0.0	0
428619	2988	3089	3	0	0	0	0.0	0
1162487	2241	3088	8	4	0	0	0.0	0
1047960	485	3086	42	35	3	0	0.0	0
1341458	2782	3086	1	1	0	0	5.0	2
121310	1435	3085	2	1	0	0	0.0	0
1203123	779	3085	16	6	2	0	0.0	0
547234	730	3084	25	11	0	0	8.0	2
1388861	985	3082	24	6	0	0	10.0	1
373350	836	3082	53	28	1	0	0.0	0
967232	1856	3080	7	1	0	1	0.0	0
